Id,SepalLengthCm,Sepal_Width,PetalLengthCm,PetalWidthCm,Species,SepalArea
64,6.1,2.9,4.7,1.4,Iris-versicolor,17.689999999999998
65,5.6,2.9,3.6,1.3,Iris-versicolor,16.24
66,6.7,3.1,4.4,1.4,Iris-versicolor,20.77
67,5.6,3.0,4.5,1.5,Iris-versicolor,16.799999999999997
68,5.8,2.7,4.1,1.0,Iris-versicolor,15.66
69,6.2,2.2,4.5,1.5,Iris-versicolor,13.640000000000002
70,5.6,2.5,3.9,1.1,Iris-versicolor,14.0
71,5.9,3.2,4.8,1.8,Iris-versicolor,18.880000000000003
72,6.1,2.8,4.0,1.3,Iris-versicolor,17.08
73,6.3,2.5,4.9,1.5,Iris-versicolor,15.75
74,6.1,2.8,4.7,1.2,Iris-versicolor,17.08
75,6.4,2.9,4.3,1.3,Iris-versicolor,18.56
76,6.6,3.0,4.4,1.4,Iris-versicolor,19.799999999999997
77,6.8,2.8,4.8,1.4,Iris-versicolor,19.04
78,6.7,3.0,5.0,1.7,Iris-versicolor,20.1
79,6.0,2.9,4.5,1.5,Iris-versicolor,17.4
80,5.7,2.6,3.5,1.0,Iris-versicolor,14.82
81,5.5,2.4,3.8,1.1,Iris-versicolor,13.2
82,5.5,2.4,3.7,1.0,Iris-versicolor,13.2
83,5.8,2.7,3.9,1.2,Iris-versicolor,15.66
84,6.0,2.7,5.1,1.6,Iris-versicolor,16.200000000000003
85,5.4,3.0,4.5,1.5,Iris-versicolor,16.200000000000003
86,6.0,3.4,4.5,1.6,Iris-versicolor,20.4
87,6.7,3.1,4.7,1.5,Iris-versicolor,20.77
88,6.3,2.3,4.4,1.3,Iris-versicolor,14.489999999999998
89,5.6,3.0,4.1,1.3,Iris-versicolor,16.799999999999997
90,5.5,2.5,4.0,1.3,Iris-versicolor,13.75
91,5.5,2.6,4.4,1.2,Iris-versicolor,14.3
92,6.1,3.0,4.6,1.4,Iris-versicolor,18.299999999999997
93,5.8,2.6,4.0,1.2,Iris-versicolor,15.08
94,5.0,2.3,3.3,1.0,Iris-versicolor,11.5
95,5.6,2.7,4.2,1.3,Iris-versicolor,15.12
96,5.7,3.0,4.2,1.2,Iris-versicolor,17.1
97,5.7,2.9,4.2,1.3,Iris-versicolor,16.53
98,6.2,2.9,4.3,1.3,Iris-versicolor,17.98
99,5.1,2.5,3.0,1.1,Iris-versicolor,12.75
100,5.7,2.8,4.1,1.3,Iris-versicolor,15.959999999999999
101,6.3,3.3,6.0,2.5,Iris-virginica,20.79
102,5.8,2.7,5.1,1.9,Iris-virginica,15.66
103,7.1,3.0,5.9,2.1,Iris-virginica,21.299999999999997
104,6.3,2.9,5.6,1.8,Iris-virginica,18.27
105,6.5,3.0,5.8,2.2,Iris-virginica,19.5
106,7.6,3.0,6.6,2.1,Iris-virginica,22.799999999999997
107,4.9,2.5,4.5,1.7,Iris-virginica,12.25
108,7.3,2.9,6.3,1.8,Iris-virginica,21.169999999999998
109,6.7,2.5,5.8,1.8,Iris-virginica,16.75
110,7.2,3.6,6.1,2.5,Iris-virginica,25.92
111,6.5,3.2,5.1,2.0,Iris-virginica,20.8
112,6.4,2.7,5.3,1.9,Iris-virginica,17.28
113,6.8,3.0,5.5,2.1,Iris-virginica,20.4
114,5.7,2.5,5.0,2.0,Iris-virginica,14.25
115,5.8,2.8,5.1,2.4,Iris-virginica,16.24
116,6.4,3.2,5.3,2.3,Iris-virginica,20.480000000000004
117,6.5,3.0,5.5,1.8,Iris-virginica,19.5
118,7.7,3.8,6.7,2.2,Iris-virginica,29.259999999999998
119,7.7,2.6,6.9,2.3,Iris-virginica,20.02
120,6.0,2.2,5.0,1.5,Iris-virginica,13.200000000000001
121,6.9,3.2,5.7,2.3,Iris-virginica,22.080000000000002
122,5.6,2.8,4.9,2.0,Iris-virginica,15.679999999999998
123,7.7,2.8,6.7,2.0,Iris-virginica,21.56
124,6.3,2.7,4.9,1.8,Iris-virginica,17.01
125,6.7,3.3,5.7,2.1,Iris-virginica,22.11
126,7.2,3.2,6.0,1.8,Iris-virginica,23.040000000000003
127,6.2,2.8,4.8,1.8,Iris-virginica,17.36
128,6.1,3.0,4.9,1.8,Iris-virginica,18.299999999999997
129,6.4,2.8,5.6,2.1,Iris-virginica,17.919999999999998
130,7.2,3.0,5.8,1.6,Iris-virginica,21.6
131,7.4,2.8,6.1,1.9,Iris-virginica,20.72
132,7.9,3.8,6.4,2.0,Iris-virginica,30.02
133,6.4,2.8,5.6,2.2,Iris-virginica,17.919999999999998
134,6.3,2.8,5.1,1.5,Iris-virginica,17.639999999999997
135,6.1,2.6,5.6,1.4,Iris-virginica,15.86
136,7.7,3.0,6.1,2.3,Iris-virginica,23.1
137,6.3,3.4,5.6,2.4,Iris-virginica,21.419999999999998
138,6.4,3.1,5.5,1.8,Iris-virginica,19.840000000000003
139,6.0,3.0,4.8,1.8,Iris-virginica,18.0
140,6.9,3.1,5.4,2.1,Iris-virginica,21.39
141,6.7,3.1,5.6,2.4,Iris-virginica,20.77
142,6.9,3.1,5.1,2.3,Iris-virginica,21.39
143,5.8,2.7,5.1,1.9,Iris-virginica,15.66
144,6.8,3.2,5.9,2.3,Iris-virginica,21.76
145,6.7,3.3,5.7,2.5,Iris-virginica,22.11
146,6.7,3.0,5.2,2.3,Iris-virginica,20.1
147,6.3,2.5,5.0,1.9,Iris-virginica,15.75
148,6.5,3.0,5.2,2.0,Iris-virginica,19.5
149,6.2,3.4,5.4,2.3,Iris-virginica,21.08
150,5.9,3.0,5.1,1.8,Iris-virginica,17.700000000000003
